RBC,PO2,HBsat
O2transport_init, 4.9e15, 1.1467116e-03, 7.6364383e-01
co2transport_init, 0.05004034, 0.02960993, 0.78838485, 0.09752594, 0.04786631

type,ID,name,start_node,end_node,start_diameter[SI],end_diameter[SI],start_thickness[SI],end_thickness[SI],length[SI],division_points,elastance_1[SI],res_start[SI],res_end[SI],visc_fact[1],k1[SI],k2[SI],k3[SI]
vis_f,84,Sup.venacava,n1,H,0.016,0.016,0.0016,0.0016,0.015,5,1.e4,0,0,2.75,2.e5,-2253.,8.65e3
vis_f,85,Sup.venacava,n2,n1,0.016,0.016,0.0016,0.0016,0.02,5,1.e4,0,0,2.75,2.e5,-2253.,8.65e3
vis_f,86,R.brachiocephalicv.,n3,n2,0.01128,0.01128,0.001128,0.001128,0.04,6,1.e4,0,0,2.75,2.e5,-2253.,8.65e3
vis_f,87,L.brachiocephalicv.,n4,n2,0.0107,0.0107,0.00107,0.00107,0.075,7,1.e4,0,0,2.75,2.e5,-2253.,8.65e3
vis_f,88,L.subclavianv.I,n6,n4,0.01128,0.01128,0.001128,0.001128,0.03,5,1.e4,0,0,2.75,2.e5,-2253.,8.65e3
vis_f,89,R.subclavianv.I,n5,n3,0.01128,0.01128,0.001128,0.001128,0.03,5,1.e4,0,0,2.75,2.e5,-2253.,8.65e3
vis_f,90,R.ext.jugularv.,n75,n73,0.00504,0.00504,0.000504,0.000504,0.1,9,1.e4,0,0,2.75,2.e5,-2253.,8.65e3
vis_f,91,L.ext.jugularv.,n76,n74,0.00504,0.00608,0.000504,0.000608,0.1,9,1.e4,0,0,2.75,2.e5,-2253.,8.65e3
vis_f,92,R.int.jugularv.,n43,n41,0.00798,0.00798,0.000798,0.000798,0.025,5,1.e4,0,0,2.75,2.e5,-2253.,8.65e3
vis_f,93,L.int.jugularv.,n44,n42,0.01128,0.01236,0.001128,0.001236,0.025,5,1.e4,0,0,2.75,2.e5,-2253.,8.65e3
vis_f,94,L.vertebralv.,n86,n84,0.00276,0.0032,0.000276,0.00032,0.11,9,1.e4,0,0,2.75,2.e5,-2253.,8.65e3
vis_f,95,R.vertebralv.,n85,n83,0.00276,0.0032,0.000276,0.00032,0.11,9,1.e4,0,0,2.75r.extr,2.e5,-2253.,8.65e3
vis_f,96,R.deepcervicalv.,n86,n83,0.0032,0.0032,0.00032,0.00032,0.13,10,1.e4,0,0,2.75,2.e5,-2253.,8.65e3
vis_f,97,L.deepcervicalv.,n86,n84,0.0032,0.0032,0.00032,0.00032,0.13,10,1.e4,0,0,2.75,2.e5,-2253.,8.65e3
vis_f,98,Vertebralvenousplexus,n69,n38,0.00736,0.00736,0.000736,0.000736,0.71,39,1.e4,0,0,2.75,2.e5,-2253.,8.65e3
vis_f,99,R.sigmoidsinus,n53,n51,0.00504,0.00504,0.000504,0.000504,0.035,5,1.e4,0,0,2.75,2.e5,-2253.,8.65e3
vis_f,100,L.sigmoidsinus,n54,n52,0.00714,0.00756,0.000714,0.000756,0.035,5,1.e4,0,0,2.75,2.e5,-2253.,8.65e3
vis_f,101,R.trans.sinus,n55,n53,0.00356,0.00504,0.000356,0.000504,0.035,5,1.e4,0,0,2.75,2.e5,-2253.,8.65e3
