data of edges,,,,,,,
type, name, node start, node end, initial condition [SI], parameter [SI],Emin ,Emax
capacitor,CVP,G,PVP,0.00E+00,2.25E-07,,
resistor,RVP,PVP,PLA,0.00E+00,1.33E+07,,
elastance,CLA,G1,PLA,0.00E+00,4.00E+07,2.67E+07,
diode,MV,PLA,PLV,0.00E+00,3.33E+05,,
elastance,CLV,G2,PLV,0.00E+00,2.40E+08,8.00E+06,
diode,AV,PLV,PAO,0.00E+00,3.33E+05,,
capacitor,CAO,G,PAO,0.00E+00,3.00E-10,,
resistor,RAO,PAO,AO,0.00E+00,1.33E+06,,
inductor,LAO,AO,PAA,0.00E+00,1.33E+04,,
capacitor,CAA,G,PAA,0.00E+00,1.88E-09,,
resistor,RAA,PAA,AA,0.00E+00,6.67E+06,,
inductor,LAA,AA,PARS,0.00E+00,1.33E+04,,
resistor,RARS,PARS,ARS,0.00E+00,1.00E+08,,
capacitor,CCS,G,PCS,0.00E+00,3.00E-08,,
resistor,RCS,PCS,PVS,0.00E+00,3.20E+07,,
capacitor,CVS,G,PVS,0.00E+00,2.25E-07,,
resistor,RVS,PCS,PRA,0.00E+00,1.33E+07,,
elastance,CRA,G3,PRA,0.00E+00,4.00E+06,2.67E+07,
diode,TV,PRA,PRV,0.00E+00,1.33E+05,,
elastance,CRV,G4,PRV,0.00E+00,6.20E+07,8.00E+06,
diode,PV,PRV,PAP,0.00E+00,1.33E+05,,
capacitor,CAP,G,PAP,0.00E+00,2.25E-08,,
resistor,RAP,PAP,AP,0.00E+00,1.33E+07,,
inductor,LAP,AP,PARP,0.00E+00,1.33E+04,,
capacitor,CARP,G,PARP,0.00E+00,4.50E-08,,
resistor,RARP,PARP,ARP,0.00E+00,1.33E+07,,
inductor,LARP,ARP,PVP,0.00E+00,1.33E+04,,
resistor,RLICA,PAA,LICA,0.00E+00,2.32E+08,,
inductor,LLICA,LICA,PLOA,0.00E+00,1.33E+04,,
capacitor,CLOA,G,PLOA,0.00E+00,7.50E-12,,
resistor,RLOA,PLOA,PPC,0.00E+00,1.67E+10,,
capacitor,CPC,G,PPC,0.00E+00,3.75E-09,,
resistor,RPC,PPC,PCC,0.00E+00,5.33E+09,,
capacitor,CCC,G,PCC,0.00E+00,1.50E-08,,
