type,ID,name,start_node,end_node,start_diameter[SI],end_diameter[SI],start_thickness[SI],end_thickness[SI],length[SI],division_points,elastance_1[SI],elastance_2[SI],eta[SI],res_start[SI],res_end[SI]
vis,A1,Ascendingaorta1,H,n1,2.364e-02,2.356e-02,3.610e-03,3.598e-03,5.436e-03,5,1.693e+05,5.757e+05,1.300e+04,0.000e+00,0.000e+00
vis,A2,AorticarchA,n2,n3,2.018e-02,1.930e-02,3.082e-03,2.947e-03,2.174e-02,5,1.850e+05,6.282e+05,1.300e+04,0.000e+00,0.000e+00
vis,A3,Brachiocephalic,n2,n6,2.057e-02,1.833e-02,2.002e-03,1.784e-03,3.379e-02,6,3.837e+05,1.015e+06,1.300e+04,0.000e+00,0.000e+00
vis,A4,SubclavianA,n6,n7,1.171e-02,9.165e-03,1.140e-03,8.919e-04,3.379e-02,5,5.364e+05,1.417e+06,1.300e+04,0.000e+00,0.000e+00
vis,A19,SubclavianA,n4,n10,1.120e-02,8.656e-03,1.090e-03,8.423e-04,3.379e-02,5,5.512e+05,1.457e+06,1.300e+04,0.000e+00,0.000e+00
vis,A5,Commoncarotid,n6,n32,1.193e-02,6.185e-03,1.456e-03,7.552e-04,1.009e-01,13,7.305e+05,1.333e+06,1.300e+04,0.000e+00,0.000e+00
vis,A15,Commoncarotid,n3,n26,1.060e-02,5.302e-03,1.295e-03,6.473e-04,1.492e-01,19,7.892e+05,1.443e+06,1.300e+04,0.000e+00,0.000e+00
vis,A6,Vertebral,n7,n31,3.269e-03,2.474e-03,3.992e-04,3.021e-04,1.599e-01,15,1.372e+06,2.505e+06,1.300e+04,0.000e+00,0.000e+00
vis,A20,Vertebral,n10,n31,3.269e-03,2.474e-03,3.992e-04,3.021e-04,1.588e-01,15,1.372e+06,2.505e+06,1.300e+04,0.000e+00,0.000e+00
vis,A7,SubclavianB-axillary-brachial,n7,n8,8.248e-03,4.786e-03,8.027e-04,4.658e-04,4.194e-01,53,7.134e+05,1.884e+06,1.300e+04,0.000e+00,0.000e+00
vis,A21,SubclavianB-axillary-brachial,n10,n11,8.248e-03,4.786e-03,8.027e-04,4.658e-04,4.194e-01,53,7.134e+05,1.884e+06,1.300e+04,0.000e+00,0.000e+00
vis,A8,Radial,n8,p4,3.768e-03,3.157e-03,3.667e-04,3.072e-04,2.336e-01,25,1.008e+06,2.662e+06,1.300e+04,0.000e+00,0.000e+00
vis,A22,Radial,n11,p17,3.564e-03,2.851e-03,3.469e-04,2.775e-04,2.336e-01,24,1.058e+06,2.802e+06,1.300e+04,0.000e+00,0.000e+00
vis,A9,UlnarA,n8,n9,3.768e-03,3.462e-03,3.667e-04,3.369e-04,6.659e-02,7,9.794e+05,2.584e+06,1.300e+04,0.000e+00,0.000e+00
vis,A23,UlnarA,n11,n12,4.379e-03,4.379e-03,4.261e-04,4.261e-04,6.659e-02,8,8.734e+05,2.304e+06,1.300e+04,0.000e+00,0.000e+00
vis,A10,Interosseous,n9,p5,2.138e-03,1.833e-03,2.081e-04,1.784e-04,7.852e-02,7,1.420e+06,3.737e+06,1.300e+04,0.000e+00,0.000e+00
vis,A24,Interosseous,n12,p16,1.833e-03,1.833e-03,1.784e-04,1.784e-04,7.852e-02,7,1.484e+06,3.923e+06,1.300e+04,0.000e+00,0.000e+00
vis,A11,UlnarB,n9,p6,3.259e-03,2.851e-03,3.171e-04,2.775e-04,1.700e-01,17,1.081e+06,2.865e+06,1.300e+04,0.000e+00,0.000e+00
vis,A25,UlnarB,n12,p15,4.175e-03,3.768e-03,4.063e-04,3.667e-04,1.700e-01,19,9.264e+05,2.444e+06,1.300e+04,0.000e+00,0.000e+00
vis,A12,Internalcarotid,n32,n46,5.037e-03,3.799e-03,6.149e-04,4.639e-04,1.910e-01,21,1.062e+06,1.939e+06,1.300e+04,0.000e+00,0.000e+00
vis,A16,Internalcarotid,n26,n37,4.683e-03,3.623e-03,5.718e-04,4.423e-04,1.910e-01,21,1.099e+06,2.009e+06,1.300e+04,0.000e+00,0.000e+00
vis,A13,Externalcarotid1,n32,n33,4.418e-03,3.976e-03,5.394e-04,4.855e-04,4.400e-02,5,1.087e+06,1.981e+06,1.300e+04,0.000e+00,0.000e+00
