type,ID,name,start_node,end_node,start_diameter[SI],end_diameter[SI],start_thickness[SI],end_thickness[SI],length[SI],division_points,elastance_1[SI],elastance_2[SI],eta[SI],res_start[SI],res_end[SI]
vis,A1,Ascendingaorta1,H,n1,2.470e-02,2.462e-02,3.361e-03,3.350e-03,4.123e-03,5,2.050e+05,1.049e+06,1.300e+04,0.000e+00,0.000e+00
vis,A2,AorticarchA,n2,n3,2.109e-02,2.016e-02,2.870e-03,2.744e-03,1.649e-02,5,2.240e+05,1.144e+06,1.300e+04,0.000e+00,0.000e+00
vis,A3,Brachiocephalic,n2,n6,1.633e-02,1.455e-02,2.188e-03,1.949e-03,3.402e-02,6,2.951e+05,1.272e+06,1.300e+04,0.000e+00,0.000e+00
vis,A4,SubclavianA,n6,n7,9.297e-03,7.276e-03,1.245e-03,9.747e-04,3.402e-02,5,4.125e+05,1.776e+06,1.300e+04,0.000e+00,0.000e+00
vis,A19,SubclavianA,n4,n10,8.892e-03,6.871e-03,1.191e-03,9.205e-04,3.402e-02,5,4.240e+05,1.826e+06,1.300e+04,0.000e+00,0.000e+00
vis,A5,Commoncarotid,n6,n32,1.087e-02,5.638e-03,1.656e-03,8.588e-04,1.154e-01,13,5.463e+05,1.558e+06,1.300e+04,0.000e+00,0.000e+00
vis,A15,Commoncarotid,n3,n26,9.665e-03,4.832e-03,1.472e-03,7.361e-04,1.707e-01,19,5.901e+05,1.687e+06,1.300e+04,0.000e+00,0.000e+00
vis,A6,Vertebral,n7,n31,2.980e-03,2.255e-03,4.540e-04,3.435e-04,1.830e-01,15,1.026e+06,2.927e+06,1.300e+04,0.000e+00,0.000e+00
vis,A20,Vertebral,n10,n31,2.980e-03,2.255e-03,4.540e-04,3.435e-04,1.817e-01,15,1.026e+06,2.927e+06,1.300e+04,0.000e+00,0.000e+00
vis,A7,SubclavianB-axillary-brachial,n7,n8,6.548e-03,3.799e-03,8.772e-04,5.090e-04,4.223e-01,53,5.487e+05,2.361e+06,1.300e+04,0.000e+00,0.000e+00
vis,A21,SubclavianB-axillary-brachial,n10,n11,6.548e-03,3.799e-03,8.772e-04,5.090e-04,4.223e-01,53,5.487e+05,2.361e+06,1.300e+04,0.000e+00,0.000e+00
vis,A8,Radial,n8,p4,2.991e-03,2.506e-03,4.007e-04,3.357e-04,2.352e-01,25,7.754e+05,3.337e+06,1.300e+04,0.000e+00,0.000e+00
vis,A22,Radial,n11,p17,2.829e-03,2.264e-03,3.790e-04,3.032e-04,2.352e-01,24,8.137e+05,3.512e+06,1.300e+04,0.000e+00,0.000e+00
vis,A9,UlnarA,n8,n9,2.991e-03,2.749e-03,4.007e-04,3.682e-04,6.705e-02,7,7.533e+05,3.239e+06,1.300e+04,0.000e+00,0.000e+00
vis,A23,UlnarA,n11,n12,3.476e-03,3.476e-03,4.657e-04,4.657e-04,6.705e-02,8,6.718e+05,2.888e+06,1.300e+04,0.000e+00,0.000e+00
vis,A10,Interosseous,n9,p5,1.698e-03,1.455e-03,2.274e-04,1.949e-04,7.906e-02,7,1.093e+06,4.683e+06,1.300e+04,0.000e+00,0.000e+00
vis,A24,Interosseous,n12,p16,1.455e-03,1.455e-03,1.949e-04,1.949e-04,7.906e-02,7,1.141e+06,4.917e+06,1.300e+04,0.000e+00,0.000e+00
vis,A11,UlnarB,n9,p6,2.587e-03,2.264e-03,3.466e-04,3.032e-04,1.711e-01,17,8.316e+05,3.590e+06,1.300e+04,0.000e+00,0.000e+00
vis,A25,UlnarB,n12,p15,3.314e-03,2.991e-03,4.440e-04,4.007e-04,1.711e-01,19,7.126e+05,3.063e+06,1.300e+04,0.000e+00,0.000e+00
vis,A12,Internalcarotid,n32,n46,4.591e-03,3.463e-03,6.993e-04,5.276e-04,2.186e-01,21,7.938e+05,2.266e+06,1.300e+04,0.000e+00,0.000e+00
vis,A16,Internalcarotid,n26,n37,4.269e-03,3.302e-03,6.503e-04,5.030e-04,2.186e-01,21,8.220e+05,2.348e+06,1.300e+04,0.000e+00,0.000e+00
vis,A13,Externalcarotid1,n32,n33,4.027e-03,3.624e-03,6.135e-04,5.521e-04,5.034e-02,5,8.126e+05,2.315e+06,1.300e+04,0.000e+00,0.000e+00
vis,A17,Externalcarotid1,n26,n27,3.785e-03,3.463e-03,5.766e-04,5.276e-04,5.034e-02,5,8.387e+05,2.398e+06,1.300e+04,0.000e+00,0.000e+00
vis,A14,AorticarchB,n3,n4,1.798e-02,1.748e-02,2.447e-03,2.378e-03,3.216e-02,7,2.415e+05,1.234e+06,1.300e+04,0.000e+00,0.000e+00
vis,A18,ThoracicaortaA,n4,n51,1.680e-02,1.588e-02,2.287e-03,2.161e-03,4.287e-02,9,2.521e+05,1.288e+06,1.300e+04,0.000e+00,0.000e+00
vis,A26,Intercostals,n51,p47,1.059e-02,7.982e-03,1.441e-03,1.086e-03,6.596e-02,12,3.412e+05,1.744e+06,1.300e+04,0.000e+00,0.000e+00
vis,A27,ThoracicaortaB,n51,n52,1.386e-02,1.084e-02,1.886e-03,1.475e-03,8.575e-02,17,2.928e+05,1.495e+06,1.300e+04,0.000e+00,0.000e+00
vis,A28,AbdominalaortaA,n52,n22,1.025e-02,1.025e-02,1.395e-03,1.395e-03,4.370e-02,8,3.216e+05,1.643e+06,1.300e+04,0.000e+00,0.000e+00
vis,A29,CeliacA,n52,n20,6.554e-03,5.797e-03,8.918e-04,7.889e-04,1.649e-02,5,4.255e+05,2.173e+06,1.300e+04,0.000e+00,0.000e+00
vis,A30,CeliacB,n20,n21,4.369e-03,4.117e-03,5.945e-04,5.602e-04,1.649e-02,5,5.266e+05,2.691e+06,1.300e+04,0.000e+00,0.000e+00
vis,A31,Hepatic,n21,p18,4.537e-03,3.697e-03,6.174e-04,5.031e-04,5.442e-02,8,5.385e+05,2.751e+06,1.300e+04,0.000e+00,0.000e+00
vis,A32,Gastric,n20,p19,2.689e-03,2.521e-03,3.659e-04,3.430e-04,5.854e-02,7,7.021e+05,3.588e+06,1.300e+04,0.000e+00,0.000e+00
vis,A33,Splenic,n21,p20,3.529e-03,3.277e-03,4.802e-04,4.459e-04,5.194e-02,7,5.996e+05,3.070e+06,1.300e+04,0.000e+00,0.000e+00
vis,A34,Superiormesenteric,n22,p22,6.638e-03,5.965e-03,9.032e-04,8.117e-04,4.865e-02,8,4.206e+05,2.153e+06,1.300e+04,0.000e+00,0.000e+00
vis,A35,AbdominalaortaB,n22,n23,9.662e-03,9.494e-03,1.315e-03,1.292e-03,1.649e-02,5,3.335e+05,1.703e+06,1.300e+04,0.000e+00,0.000e+00
vis,A36,Renal,n23,p21,4.369e-03,4.369e-03,5.945e-04,5.945e-04,2.638e-02,5,5.174e+05,2.651e+06,1.300e+04,0.000e+00,0.000e+00
vis,A38,Renal,n24,p23,4.369e-03,4.369e-03,5.945e-04,5.945e-04,2.638e-02,5,5.174e+05,2.651e+06,1.300e+04,0.000e+00,0.000e+00
vis,A37,AbdominalaortaC,n23,n24,9.914e-03,9.914e-03,1.349e-03,1.349e-03,1.649e-02,5,3.272e+05,1.673e+06,1.300e+04,0.000e+00,0.000e+00
vis,A39,AbdominalaortaD,n24,n25,9.746e-03,9.242e-03,1.326e-03,1.258e-03,8.740e-02,16,3.349e+05,1.713e+06,1.300e+04,0.000e+00,0.000e+00
vis,A40,Inferiormesenteric,n25,p24,3.949e-03,2.689e-03,5.374e-04,3.659e-04,4.123e-02,5,6.178e+05,3.150e+06,1.300e+04,0.000e+00,0.000e+00
vis,A41,AbdominalaortaE,n25,n13,9.074e-03,8.738e-03,1.235e-03,1.189e-03,1.649e-02,5,3.468e+05,1.772e+06,1.300e+04,0.000e+00,0.000e+00
vis,A42,Commoniliac,n13,n14,7.558e-03,6.697e-03,9.329e-04,8.266e-04,4.794e-02,8,4.738e+05,2.144e+06,1.300e+04,0.000e+00,0.000e+00
vis,A43,Commoniliac,n13,n17,7.558e-03,6.697e-03,9.329e-04,8.266e-04,4.794e-02,8,4.738e+05,2.144e+06,1.300e+04,0.000e+00,0.000e+00
vis,A44,Externaliliac,n17,n18,6.123e-03,5.836e-03,7.558e-04,7.203e-04,1.170e-01,18,5.226e+05,2.363e+06,1.300e+04,0.000e+00,0.000e+00
vis,A50,Externaliliac,n14,n15,6.123e-03,5.836e-03,7.558e-04,7.203e-04,1.170e-01,18,5.226e+05,2.363e+06,1.300e+04,0.000e+00,0.000e+00
vis,A45,Inneriliac,n17,p11,3.827e-03,3.827e-03,4.724e-04,4.724e-04,4.063e-02,6,6.779e+05,3.078e+06,1.300e+04,0.000e+00,0.000e+00
vis,A51,Inneriliac,n14,p7,3.827e-03,3.827e-03,4.724e-04,4.724e-04,4.063e-02,6,6.779e+05,3.078e+06,1.300e+04,0.000e+00,0.000e+00
vis,A46,Femoral,n18,n19,4.975e-03,3.635e-03,6.141e-04,4.487e-04,3.600e-01,51,6.385e+05,2.899e+06,1.300e+04,0.000e+00,0.000e+00
