type,ID,name,start_node,end_node,start_diameter[SI],end_diameter[SI],start_thickness[SI],end_thickness[SI],length[SI],division_points,elastance_1[SI],elastance_2[SI],eta[SI],res_start[SI],res_end[SI]
vis,A1,Ascendingaorta1,H,n1,2.61E-02,2.60E-02,2.73E-03,2.72E-03,4.20E-03,10,3.25E+05,8.64E+05,1.30E+04,0.00E+00,0.00E+00
vis,A2,AorticarchA,n2,n3,2.22E-02,2.13E-02,2.33E-03,2.23E-03,1.68E-02,10,3.55E+05,9.43E+05,1.30E+04,0.00E+00,0.00E+00
vis,A3,Brachiocephalic,n2,n6,1.68E-02,1.50E-02,2.44E-03,2.17E-03,2.96E-02,12,2.79E+05,1.22E+06,1.30E+04,0.00E+00,0.00E+00
vis,A4,SubclavianA,n6,n7,9.56E-03,7.48E-03,1.39E-03,1.09E-03,2.96E-02,10,3.89E+05,1.71E+06,1.30E+04,0.00E+00,0.00E+00
vis,A19,SubclavianA,n4,n10,9.14E-03,7.06E-03,1.33E-03,1.03E-03,2.96E-02,10,4.00E+05,1.76E+06,1.30E+04,0.00E+00,0.00E+00
vis,A5,Commoncarotid,n6,n32,1.13E-02,5.85E-03,1.23E-03,6.36E-04,7.62E-02,26,9.58E+05,1.28E+06,1.30E+04,0.00E+00,0.00E+00
vis,A15,Commoncarotid,n3,n26,1.00E-02,5.02E-03,1.09E-03,5.45E-04,1.13E-01,38,1.04E+06,1.39E+06,1.30E+04,0.00E+00,0.00E+00
vis,A6,Vertebral,n7,n31,3.09E-03,2.34E-03,3.36E-04,2.54E-04,1.21E-01,30,1.80E+06,2.41E+06,1.30E+04,0.00E+00,0.00E+00
vis,A20,Vertebral,n10,n31,3.09E-03,2.34E-03,3.36E-04,2.54E-04,1.20E-01,30,1.80E+06,2.41E+06,1.30E+04,0.00E+00,0.00E+00
vis,A7,SubclavianB-axillary-brachial,n7,n8,6.73E-03,3.91E-03,9.77E-04,5.67E-04,3.68E-01,106,5.18E+05,2.27E+06,1.30E+04,0.00E+00,0.00E+00
vis,A21,SubclavianB-axillary-brachial,n10,n11,6.73E-03,3.91E-03,9.77E-04,5.67E-04,3.68E-01,106,5.18E+05,2.27E+06,1.30E+04,0.00E+00,0.00E+00
vis,A8,Radial,n8,p4,3.07E-03,2.58E-03,4.46E-04,3.74E-04,2.05E-01,50,7.32E+05,3.21E+06,1.30E+04,0.00E+00,0.00E+00
vis,A22,Radial,n11,p17,2.91E-03,2.33E-03,4.22E-04,3.38E-04,2.05E-01,48,7.68E+05,3.38E+06,1.30E+04,0.00E+00,0.00E+00
vis,A9,UlnarA,n8,n9,3.07E-03,2.83E-03,4.46E-04,4.10E-04,5.84E-02,14,7.11E+05,3.11E+06,1.30E+04,0.00E+00,0.00E+00
vis,A23,UlnarA,n11,n12,3.57E-03,3.57E-03,5.19E-04,5.19E-04,5.84E-02,16,6.34E+05,2.78E+06,1.30E+04,0.00E+00,0.00E+00
vis,A10,Interosseous,n9,p5,1.75E-03,1.50E-03,2.53E-04,2.17E-04,6.88E-02,14,1.03E+06,4.50E+06,1.30E+04,0.00E+00,0.00E+00
vis,A24,Interosseous,n12,p16,1.50E-03,1.50E-03,2.17E-04,2.17E-04,6.88E-02,14,1.08E+06,4.73E+06,1.30E+04,0.00E+00,0.00E+00
vis,A11,UlnarB,n9,p6,2.66E-03,2.33E-03,3.86E-04,3.38E-04,1.49E-01,34,7.85E+05,3.45E+06,1.30E+04,0.00E+00,0.00E+00
