type,ID,name,start_node,end_node,start_diameter[SI],end_diameter[SI],start_thickness[SI],end_thickness[SI],length[SI],division_points,elastance_1[SI],elastance_2[SI],eta[SI],res_start[SI],res_end[SI]
vis,A1,Ascendingaorta1,H,n1,2.605e-02,2.596e-02,2.728e-03,2.719e-03,4.196e-03,5,3.248e+05,8.636e+05,1.300e+04,0.000e+00,0.000e+00
vis,A2,AorticarchA,n2,n3,2.224e-02,2.127e-02,2.329e-03,2.227e-03,1.678e-02,5,3.549e+05,9.425e+05,1.300e+04,0.000e+00,0.000e+00
vis,A3,Brachiocephalic,n2,n6,1.678e-02,1.496e-02,2.437e-03,2.171e-03,2.961e-02,6,2.786e+05,1.223e+06,1.300e+04,0.000e+00,0.000e+00
vis,A4,SubclavianA,n6,n7,9.555e-03,7.478e-03,1.387e-03,1.086e-03,2.961e-02,5,3.894e+05,1.707e+06,1.300e+04,0.000e+00,0.000e+00
vis,A19,SubclavianA,n4,n10,9.140e-03,7.063e-03,1.327e-03,1.025e-03,2.961e-02,5,4.001e+05,1.756e+06,1.300e+04,0.000e+00,0.000e+00
vis,A15,Commoncarotid,n3,n26,1.003e-02,5.017e-03,1.090e-03,5.449e-04,1.126e-01,19,1.035e+06,1.389e+06,1.300e+04,0.000e+00,0.000e+00
vis,A6,Vertebral,n7,n31,3.094e-03,2.341e-03,3.360e-04,2.543e-04,1.207e-01,15,1.798e+06,2.410e+06,1.300e+04,0.000e+00,0.000e+00
vis,A20,Vertebral,n10,n31,3.094e-03,2.341e-03,3.360e-04,2.543e-04,1.199e-01,15,1.798e+06,2.410e+06,1.300e+04,0.000e+00,0.000e+00
vis,A7,SubclavianB-axillary-brachial,n7,n8,6.730e-03,3.905e-03,9.770e-04,5.669e-04,3.676e-01,53,5.179e+05,2.270e+06,1.300e+04,0.000e+00,0.000e+00
vis,A21,SubclavianB-axillary-brachial,n10,n11,6.730e-03,3.905e-03,9.770e-04,5.669e-04,3.676e-01,53,5.179e+05,2.270e+06,1.300e+04,0.000e+00,0.000e+00
vis,A8,Radial,n8,p4,3.074e-03,2.576e-03,4.463e-04,3.739e-04,2.047e-01,25,7.318e+05,3.208e+06,1.300e+04,0.000e+00,0.000e+00
vis,A22,Radial,n11,p17,2.908e-03,2.327e-03,4.222e-04,3.377e-04,2.047e-01,24,7.680e+05,3.377e+06,1.300e+04,0.000e+00,0.000e+00
