type,ID,name,start_node,end_node,start_diameter[SI],end_diameter[SI],start_thickness[SI],end_thickness[SI],length[SI],division_points,elastance_1[SI],res_start[SI],res_end[SI],
vis_f,A1,Aorta ascendens 1,H,n1,0.06818,0.06739,0.006818,0.006739,0.018,10,1.0e6,0,0,2.75
vis_f,A2,A coronaria sinistra,n1,p1,0.023638,0.0121,0.002364,0.00121,0.02,10,1.0e6,0,0,2.75
vis_f,A3,A coronaria dextra,n1,p2,0.023638,0.0121,0.002364,0.00121,0.02,10,1.0e6,0,0,2.75
vis_f,A4,Aorta ascendens 2,n1,n2,0.06722,0.06682,0.006722,0.006682,0.064,12,1.0e6,0,0,2.75
vis_f,A5,Truncus brachiocephalicus 1,n2,n3,0.038882,0.03888,0.003888,0.003888,0.038,10,1.0e6,0,0,2.75
vis_f,A6,A subclavia sinistra 1,n3,n4,0.025332,0.02533,0.002533,0.002533,0.039,10,1.0e6,0,0,2.75
vis_f,A7,Truncus costocervicalis sinister,n4,p3,0.012102,0.0105,0.00121,0.00105,0.01,10,1.0e6,0,0,2.75
vis_f,A8,A subclavia sinistra 2,n4,n5,0.02411,0.02411,0.002411,0.002411,0.019,10,1.0e6,0,0,2.75
vis_f,A9,A cervicalis profunda sinistra,n5,p4,0.00282,0.00282,0.000282,0.000282,0.07,12,1.0e6,0,0,2.75
vis_f,A10,A subclavia sinistra 3,n5,n6,0.02411,0.02411,0.002411,0.002411,0.014,10,1.0e6,0,0,2.75
vis_f,A11,A vertebralis sinistra,n6,p5,0.01417,0.00998,0.001417,0.000998,0.095,12,1.0e6,0,0,2.75
vis_f,A12,A subclavia sinistra 4,n6,n7,0.02289,0.02289,0.002289,0.002289,0.04,10,1.0e6,0,0,2.75
vis_f,A13,A thoracica interna sinistra,n7,p6,0.01211,0.01211,0.001211,0.001211,0.137,14,1.0e7,0,0,2.75
vis_f,A14,A subclavia sinistra 5,n7,n8,0.02289,0.02289,0.002289,0.002289,0.007,10,1.0e6,0,0,2.75
vis_f,A15,A cervicalis superficialis sinistra,n8,p7,0.01031,0.00479,0.001031,0.000479,0.08,12,1.0e6,0,0,2.75
vis_f,A16,A axillaris sinistra 1,n8,n9,0.0215,0.02037,0.00215,0.002037,0.062,12,1.0e6,0,0,2.75
vis_f,A17,A suprascapularis sinistra,n9,p6,0.00768,0.007,0.000768,0.0007,0.015,10,1.0e6,0,0,2.75
vis_f,A18,A axillaris sinistra 2,n9,n10,0.0199,0.0199,0.00199,0.00199,0.058,12,1.0e6,0,0,2.75
vis_f,A19,A subscapularis sinistra,n10,p9,0.0168,0.0168,0.00168,0.00168,0.01,10,1.0e6,0,0,2.75
vis_f,A20,A axillaris sinistra 3,n10,n11,0.01802,0.01802,0.001802,0.001802,0.023,10,1.0e6,0,0,2.75
vis_f,A21,A circumflexa humeri cranialis sinistra,n11,p10,0.00611,0.00279,0.000611,0.000279,0.03,10,1.0e6,0,0,2.75
vis_f,A22,A axillaris sinistra 4,n11,n12,0.01705,0.01705,0.001705,0.001705,0.07,12,1.0e6,0,0,2.75
vis_f,A23,A profunda brachii sinistra,n12,p11,0.011281,0.0096,0.001128,0.00096,0.005,10,1.0e6,0,0,2.75
vis_f,A24,A axillaris sinistra 5,n12,n13,0.01535,0.01279,0.001535,0.001279,0.082,12,1.0e6,0,0,2.75
vis_f,A25,A collateralis ulnaris sinistra,n13,p12,0.0086,0.00492,0.00086,0.000492,0.005,10,1.0e6,0,0,2.75
vis_f,A26,A mediana sinistra,n13,p13,0.01001,0.0053,0.001001,0.00053,0.145,14,1.0e6,0,0,2.75
vis_f,A27,Truncus brachiocephalicus 2,n3,n14,0.03888,0.03888,0.003888,0.003888,0.05,12,1.0e6,0,0,2.75
vis_f,A28,Truncus costocervicalis dexter,n14,p14,0.01438,0.00707,0.001438,0.000707,0.01,10,1.0e6,0,0,2.75
vis_f,A29,Truncus brachiocephalicus 3,n14,n15,0.03888,0.03888,0.003888,0.003888,0.01,10,1.0e6,0,0,2.75
vis_f,A30,A cervicalis profunda dextra,n15,p15,0.00281,0.00281,0.000281,0.000281,0.07,12,1.0e6,0,0,2.75
vis_f,A31,Trunucus brachiocephalicus 4,n15,n16,0.03888,0.03888,0.003888,0.003888,0.01,10,1.0e6,0,0,2.75
vis_f,A32,A vertebralis dextra,n16,p16,0.01695,0.00712,0.001695,0.000712,0.095,12,1.0e6,0,0,2.75
vis_f,A33,Truncus brachiocephalicus 5,n16,n17,0.02696,0.025,0.002696,0.0025,0.02,10,1.0e6,0,0,2.75
vis_f,A34,A subclavia dextra 1,n17,n18,0.025,0.025,0.0025,0.0025,0.03,10,1.0e6,0,0,2.75
vis_f,A35,A thoracica interna dextra,n17,p17,0.01212,0.0121,0.001212,0.00121,0.137,14,1.0e6,0,0,2.75
vis_f,A36,A cervicalis superficialis dextra,n18,p18,0.00807,0.00802,0.000807,0.000802,0.08,12,1.0e6,0,0,2.75
vis_f,A37,A axillaris dextra 1,n18,n19,0.02095,0.02094,0.002095,0.002094,0.062,12,1.0e6,0,0,2.75
vis_f,A38,A suprascapularis,n19,p19,0.00643,0.00547,0.000643,0.000547,0.015,10,1.0e6,0,0,2.75
vis_f,A39,A axillaris dextra 2,n19,n20,0.0199,0.0199,0.00199,0.00199,0.058,12,1.0e6,0,0,2.75
vis_f,A40,A subscapularis dextra,n20,p20,0.0168,0.0168,0.00168,0.00168,0.01,10,1.0e6,0,0,2.75
vis_f,A41,A axillaris dextra 3,n20,n21,0.01802,0.01802,0.001802,0.001802,0.023,10,1.0e6,0,0,2.75
vis_f,A42,A circumflexa humeri cranialis dextra,n21,p21,0.006115,0.00279,0.000612,0.000279,0.03,10,1.0e6,0,0,2.75
