type,ID,name,start_node,end_node,start_diameter[SI],end_diameter[SI],start_thickness[SI],end_thickness[SI],length[SI],division_points,elastance_1[SI],elastance_2[SI],eta[SI],res_start[SI],res_end[SI]
vis,A1,Ascendingaorta1,H,n1,2.940e-02,2.930e-02,2.940e-03,2.930e-03,5.000e-03,5,2.920e+05,5.260e+05,1.300e+04,0.000e+00,0.000e+00
vis,A2,AorticarchA,n2,n3,2.510e-02,2.400e-02,2.510e-03,2.400e-03,2.000e-02,5,3.190e+05,5.740e+05,1.300e+04,0.000e+00,0.000e+00
vis,A3,Brachiocephalic,n2,n6,2.020e-02,1.800e-02,2.020e-03,1.800e-03,3.400e-02,6,3.620e+05,6.520e+05,1.300e+04,0.000e+00,0.000e+00
vis,A4,SubclavianA,n6,n7,1.150e-02,9.000e-03,1.150e-03,9.000e-04,3.400e-02,5,5.060e+05,9.100e+05,1.300e+04,0.000e+00,0.000e+00
vis,A19,SubclavianA,n4,n10,1.100e-02,8.500e-03,1.100e-03,8.500e-04,3.400e-02,5,5.200e+05,9.360e+05,1.300e+04,0.000e+00,0.000e+00
vis,A5,Commoncarotid,n6,n32,1.350e-02,7.000e-03,1.350e-03,7.000e-04,9.400e-02,13,5.230e+05,9.420e+05,1.300e+04,0.000e+00,0.000e+00
vis,A15,Commoncarotid,n3,n26,1.200e-02,6.000e-03,1.200e-03,6.000e-04,1.390e-01,19,5.650e+05,1.020e+06,1.300e+04,0.000e+00,0.000e+00
vis,A6,Vertebral,n7,n31,3.700e-03,2.800e-03,3.700e-04,2.800e-04,1.490e-01,15,9.820e+05,1.770e+06,1.300e+04,0.000e+00,0.000e+00
vis,A20,Vertebral,n10,n31,3.700e-03,2.800e-03,3.700e-04,2.800e-04,1.480e-01,15,9.820e+05,1.770e+06,1.300e+04,0.000e+00,0.000e+00
vis,A7,SubclavianB-axillary-brachial,n7,n8,8.100e-03,4.700e-03,8.100e-04,4.700e-04,4.220e-01,53,6.730e+05,1.210e+06,1.300e+04,0.000e+00,0.000e+00
vis,A21,SubclavianB-axillary-brachial,n10,n11,8.100e-03,4.700e-03,8.100e-04,4.700e-04,4.220e-01,53,6.730e+05,1.210e+06,1.300e+04,0.000e+00,0.000e+00
vis,A8,Radial,n8,p4,3.700e-03,3.100e-03,3.700e-04,3.100e-04,2.350e-01,25,9.510e+05,1.710e+06,1.300e+04,0.000e+00,0.000e+00
vis,A22,Radial,n11,p17,3.500e-03,2.800e-03,3.500e-04,2.800e-04,2.350e-01,24,9.980e+05,1.800e+06,1.300e+04,0.000e+00,0.000e+00
vis,A9,UlnarA,n8,n9,3.700e-03,3.400e-03,3.700e-04,3.400e-04,6.700e-02,7,9.240e+05,1.660e+06,1.300e+04,0.000e+00,0.000e+00
vis,A23,UlnarA,n11,n12,4.300e-03,4.300e-03,4.300e-04,4.300e-04,6.700e-02,8,8.240e+05,1.480e+06,1.300e+04,0.000e+00,0.000e+00
vis,A10,Interosseous,n9,p5,2.100e-03,1.800e-03,2.100e-04,1.800e-04,7.900e-02,7,1.340e+06,2.400e+06,1.300e+04,0.000e+00,0.000e+00
vis,A24,Interosseous,n12,p16,1.800e-03,1.800e-03,1.800e-04,1.800e-04,7.900e-02,7,1.400e+06,2.520e+06,1.300e+04,0.000e+00,0.000e+00
vis,A11,UlnarB,n9,p6,3.200e-03,2.800e-03,3.200e-04,2.800e-04,1.710e-01,17,1.020e+06,1.840e+06,1.300e+04,0.000e+00,0.000e+00
vis,A25,UlnarB,n12,p15,4.100e-03,3.700e-03,4.100e-04,3.700e-04,1.710e-01,19,8.740e+05,1.570e+06,1.300e+04,0.000e+00,0.000e+00
vis,A12,Internalcarotid,n32,n46,5.700e-03,4.300e-03,5.700e-04,4.300e-04,1.780e-01,21,7.600e+05,1.370e+06,1.300e+04,0.000e+00,0.000e+00
vis,A16,Internalcarotid,n26,n37,5.300e-03,4.100e-03,5.300e-04,4.100e-04,1.780e-01,21,7.870e+05,1.420e+06,1.300e+04,0.000e+00,0.000e+00
vis,A13,Externalcarotid1,n32,n33,5.000e-03,4.500e-03,5.000e-04,4.500e-04,4.100e-02,5,7.780e+05,1.400e+06,1.300e+04,0.000e+00,0.000e+00
